district,stage_name,ndvi_mean,ndvi_std,vel_median,vel_std,bsi_median,bsi_std,lswi_vel_median,lswi_vel_std
Hambantota,Transplant,0.38450699166168867,0.11753296787324866,-0.0261935,0.05056157131141478,0.022285528,0.09940102161533872,-0.0034514964,0.046679053289380004
Hambantota,Vegetative,0.5705641821340239,0.1401991029733476,0.0688597,0.052495347044111164,-0.135414,0.11596706091362229,0.050178513,0.04363626365782055
Jaffna,Harvest,0.42443563002717954,0.11194416478248871,-0.004091858800000001,0.035380832217013415,0.0133855585,0.09685276921258802,-0.005634946300000001,0.03552126013392882
Jaffna,Reproductive,0.5626331131039586,0.09197788689668115,0.0,0.0509837494575076,-0.13512592,0.09218252794048855,0.0,0.04908937385601142
Jaffna,Ripening,0.4290488798479027,0.10540545621732378,-0.041376114,0.03844811648191847,-0.0005875237,0.10101231616880986,-0.039663225,0.04475822704933766
Jaffna,Transplant,0.277250202820287,0.09756123021092357,-0.019467443,0.03539013808989182,0.09838383,0.09242088242061924,0.00033020973,0.04859351884073527
Jaffna,Vegetative,0.4384072405631085,0.1259462616315717,0.063918725,0.04421993663826303,-0.063934235,0.10803600517981066,0.063901045,0.05390191677500871
Kalutara,Harvest,0.6551153012375174,0.07519203357387215,0.0,0.03903735259115589,-0.16923185,0.06098836856002304,0.0,0.029673984549008995
Kalutara,Reproductive,0.7400956021981424,0.05613156179012285,0.0,0.05073401010538168,-0.22598386,0.04924256420640126,0.0,0.0352142344135125
Kalutara,Ripening,0.6180828205851063,0.08084052785883893,-0.050646603,0.036237504252465,-0.13679360000000002,0.07025952556334096,-0.03503444,0.03361493937462826
Kalutara,Transplant,0.5074831419921875,0.06310045892725347,-0.0202069285,0.03647741164692097,-0.0892503825,0.0721810667252361,-0.010885611,0.033399607670695435
Kalutara,Vegetative,0.6366148573661973,0.08264503811643559,0.051369785,0.036215194023845765,-0.16752050000000002,0.06691724806749487,0.025904864,0.031105967176470475
Kandy,Harvest,0.5798209719822217,0.14748085132242383,-0.002329141,0.04139042029296225,-0.123961754,0.11859313226299711,0.0014526844,0.04410205535301388
